Name,Owner,Id,DivisionId,Division,Salary,CapHit
Tornados,,1,0,AFC,14.5,0
Penguins,,2,0,AFC,65.31,0
Bombers,,3,0,AFC,18.130000000000003,0
Dactyls,,4,0,AFC,48.64,0
ODB's,,5,0,AFC,55,0
Storm Dynasty,,6,1,NFC,80,0
Nike Storm,,7,1,NFC,49.5,0
Gorillas,,8,1,NFC,79.99,0
Power,,9,1,NFC,86.02,0
Shit Squad,,10,1,NFC,25.79,0
