"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"66","undefined","","Carlos Hyde","HOU","RB27","10","59","76","69.8","6.4","167.0","+101.0"
"67","undefined","","Emmanuel Sanders","DEN","WR32","10","64","76","70.8","4.7","87.0","+20.0"
"68","undefined","","Tyrell Williams","OAK","WR33","6","58","86","71.5","10.0","135.0","+67.0"
"69","undefined","","Darren Waller","OAK","TE6","6","58","94","72.3","13.3","177.0","+108.0"
"70","undefined","","Phillip Lindsay","DEN","RB28","10","66","84","72.5","7.2","55.0","-15.0"
"71","undefined","","Devin Singletary","BUF","RB29","6","55","100","72.8","17.5","97.0","+26.0"
"72","undefined","","Miles Sanders","PHI","RB30","10","59","98","73.0","15.0","72.0","0.0"
"73","undefined","","Latavius Murray","NO","RB31","9","59","80","73.8","8.6","85.0","+12.0"
"74","undefined","","LeSean McCoy","KC","RB32","12","47","107","74.0","23.9","101.0","+27.0"
"75","undefined","","Matt Ryan","ATL","QB4","9","56","91","75.8","12.8","61.0","-14.0"
"76","undefined","","Aaron Rodgers","GB","QB5","11","54","110","76.5","23.8","52.0","-24.0"
"77","undefined","","Royce Freeman","DEN","RB33","10","73","89","79.5","5.9","104.0","+27.0"
"78","undefined","","Duke Johnson","HOU","RB34","10","61","115","80.8","20.5","71.0","-7.0"
"79","undefined","","John Brown","BUF","WR34","6","63","101","82.0","13.9","146.0","+67.0"
"80","undefined","","Tom Brady","NE","QB6","10","74","92","82.0","7.0","108.0","+28.0"
"81","undefined","","O.J. Howard","TB","TE7","7","66","124","82.3","24.2","56.0","-25.0"
"82","undefined","","Will Fuller","HOU","WR35","10","75","99","83.5","9.2","81.0","-1.0"
"83","undefined","","Jarvis Landry","CLE","WR36","7","73","103","86.5","12.8","68.0","-15.0"
"84","undefined","","Marquise Brown","BAL","WR37","8","84","89","86.8","1.9","185.0","+101.0"
"85","undefined","","Dak Prescott","DAL","QB7","8","77","95","88.0","7.0","130.0","+45.0"
"86","undefined","","Baker Mayfield","CLE","QB8","7","60","114","88.3","24.4","60.0","-26.0"
"87","undefined","","Curtis Samuel","CAR","WR38","7","72","104","90.5","12.6","95.0","+8.0"
"88","undefined","","David Njoku","CLE","TE8","7","78","127","91.5","20.5","86.0","-2.0"
"89","undefined","","Melvin Gordon","LAC","RB35","12","52","113","92.0","24.7","40.0","-49.0"
"90","undefined","","Delanie Walker","TEN","TE9","11","74","106","92.0","11.5","114.0","+24.0"
"91","undefined","","DeSean Jackson","PHI ","WR39","10","74","102","92.8","11.0","132.0","+41.0"
"92","undefined","","Carson Wentz","PHI","QB9","10","88","100","92.8","5.1","79.0","-13.0"
"93","undefined","","Vance McDonald","PIT","TE10","7","78","113","95.3","12.6","83.0","-10.0"
"94","undefined","","Austin Hooper","ATL","TE11","9","80","126","95.3","18.6","105.0","+11.0"
"95","undefined","","Kyler Murray","ARI","QB10","12","70","116","96.0","16.9","115.0","+20.0"
"96","undefined","","T.J. Hockenson","DET","TE12","5","66","108","96.3","17.5","150.0","+54.0"
"97","undefined","","Jared Goff","LAR","QB11","9","87","107","96.5","7.9","91.0","-6.0"
"98","undefined","","Rashaad Penny","SEA","RB36","11","83","116","96.8","14.3","98.0","0.0"
"99","undefined","","John Ross","CIN","WR40","9","92","102","97.0","3.6","288.0","+189.0"
"100","undefined","","Malcolm Brown","LAR","RB37","9","82","111","98.3","12.6","234.0","+134.0"
"101","undefined","","Kenyan Drake","MIA","RB38","5","89","112","98.3","9.8","75.0","-26.0"
"102","undefined","","Christian Kirk","ARI","WR41","12","75","126","98.5","20.2","96.0","-6.0"
"103","undefined","","Tarik Cohen","CHI","RB39","6","90","122","98.8","13.5","66.0","-37.0"
"104","undefined","","Adrian Peterson","WAS","RB40","10","96","104","99.3","3.1","133.0","+29.0"
